Concesionario;Departamento;Localidad;Direccion;Latitud;Longitud;Teléfono;Gasoil 50-S;Super 30-S;Premium 30-S;Gasoil 10-S
PJE. DIAMANTE PERIMETRAL;MALDONADO;MALDONADO;Ruta 39 y Luis Herrera;-34.88135924276219;-54.95030590399361;;SI;SI;SI;SI
LAFLUF;RIO NEGRO;RIO NEGRO;Ruta 3 Km., 278;-32.8964077062375;-57.4320218878545;45607540;SI;SI;SI;NO
SAN LUIS LTDA;CANELONES;SAN LUIS;Ruta IB Km. 63.500 ;-34.76986958137494;-55.57656021907872;43782051;SI;SI;SI;NO
TEXOIL;MALDONADO;MALDONADO;Cmo. Chiringuito y calle 2;-34.8867183697394;-54.9774827434272;42243630;SI;SI;SI;SI
DINEX;CANELONES;CANELONES;Rbla. Costanera S/N y Lavalleja;-34.8782140073249;-56.0300425721562;26015358;SI;SI;SI;NO
EL FARO;MONTEVIDEO;PUNTA CARRETAS;Rbla. Pte. Wilson S/N y Bvar. Artigas;-34.9283126218126;-56.1627358437914;27106568;SI;SI;?;?
KANTA S.A;MONTEVIDEO;MANGA;JOSE BELLONI 4643;-34.8172220945752;-56.1395636815054;22277312;SI;SI;SI;NO
GARAGE URUGUAY;SALTO;SALTO;Wilson Beltrán y Uruguay;-31.3892135849843;-57.9529170708473;;SI;SI;SI;NO
LA CORONILLA S.R.L;ROCHA;LA CORONILLA;RUTA 9 Km. 314,400;-33.89326403953;-53.5253484997062;;SI;SI;SI;NO
LA ESTACIÓN S.R.L;MALDONADO;PUNTA DEL ESTE;Ruta 10 Km. 159.800;-34.9104135549018;-54.8655395972089;;SI;SI;SI;SI
ARANDU S.R.L;MONTEVIDEO;CIUDAD VIEJA;Rambla Gran Bretaña S/N y Ciudadela;-34.9102283399293;-56.2007861120773;29151565;SI;SI;SI;NO
SILVEIRA HNOS.;SALTO;SALTO;RUTA 3 Km. 495 Y JOSE P. VARELA;-31.3930881665582;-57.9461462623435;45609000;SI;SI;SI;NO
GASOLINERA CORTINAS LTDA.;FLORES;ISMAEL CORTINAS;Ruta 12 y Ruta 23 Ismael Cortinas;-33.9592997881662;-57.0910531525896;45392037;SI;SI;SI;NO
CHARITON S.A. ;MONTEVIDEO;MENDOZA;Camino Pedro de Mendoza 5895;-34.8066522076548;-56.1617280570182;22224712;SI;SI;NO;NO
ESTACION CAPURRO;MONTEVIDEO;CAPURRO;URUGUAYANA 3497 Y CAPURRO;-34.8702251523887;-56.2091292189734;23091628;SI;SI;NO;NO
ROMILDO PEREYRA;CANELONES;SAN RAMÓN;Avda. José Batlle y Ordóñez 1805;-34.2990619902401;-55.9578099400103;;SI;SI;NO;NO
AGNOVI;TACUAREMBO;ANSINA;Ruta 44 Empalme con Ruta 26;-31.8794246141633;-55.4618917497974;46309109;SI;SI;NO;NO
RUTA 12;COLONIA;NUEVA PALMIRA;Ruta 12 Km. 4;-33.88421081772297;-58.38242617069948;45448888;SI;SI;SI;NO
ESTACION OLIMPIA;MONTEVIDEO;COLON;Avda. César Mayo Gutierrez 2164;-34.7974956964899;-56.2242736127377;23209113;SI;SI;SI;SI
FESTYLEND;MALDONADO;MALDONADO;Avda Aigua y cmno de los gauchos;-34.9077313891096;-54.9431229533583;42238823;SI;SI;SI;NO
PUNTA DEL ESTE SRL ;MONTEVIDEO;MALVÍN;Avenida Italia 3640;-34.886974556233;-56.1350281173391;25086691;SI;SI;SI;NO
MANS S.R.L ;CANELONES;SAN BAUTISTA;Ruta 6 Km. 62.200 S. Bautista;-34.4386299786136;-55.9639338832655;43136037;SI;SI;NO;NO
GRAND PRIX;MONTEVIDEO;PUNTA GORDA;Avda. Italia 5057 esq. Gallinal;-34.8854143283036;-56.0988028654213;26136168;SI;SI;SI;NO
TAKEL LTDA;MONTEVIDEO;LA TEJA;CARLOS MARÍA RAMIREZ 798;-34.8647765874044;-56.2347331158067;43136037;SI;SI;SI;NO
MOUNTLINE SA;CANELONES;CANELONES;Ruta Interbalnearia Km. 48;-34.76025453838366;-55.7379287134466;43722627;SI;SI;SI;NO
GUSTAVO CLAUDIO;CANELONES;TALA;José Alonso y Trelles y Avda. Gral. Artigas, 91400;-34.3625797020768;-55.7751172304281;43154525;SI;SI;SI;NO
OMAR FERIS;SALTO;SALTO;Agraciada 801 y Asencio;-31.3842561825492;-57.9645449192366;47332851;SI;SI;SI;NO
PONTINVREA;MONTEVIDEO;JACINTO VERA;Gral. Flores 3090 y Bvar. Artigas;-34.8705629996249;-56.1740732833183;22090289;SI;SI;SI;NO
ALBERTO MORALES ;MONTEVIDEO;SANTIAGO VAZQUEZ;Luis Batlle Berres 144 y Laguarda;-34.7885805771184;-56.3538257255509;23120040;SI;SI;NO;NO
B & G ;MALDONADO;MALDONADO;Ruta 10 y Ruta 109 J. Ignacio;-34.8352586713875;-54.6430695216615;;SI;SI;SI;SI
VIMPEL;MALDONADO;MALDONADO;Parada 5 Avda. Pedragosa S/N y Roosvelt;-34.9426150348406;-54.9313763034512;;SI;SI;SI;SI
ITINOL SA;CANELONES;LAGOMAR;Rambla Costanera y Ecuador;-34.8603950157354;-55.9961709410081;26824794;SI;SI;SI;SI
HASFELY;FLORES;TRINIDAD;RUTA 3 Y PANCHO LOPEZ;-33.5280081306694;-56.8951767815148;43642290;SI;SI;SI;SI
LARRAÑAGA;MONTEVIDEO;MONTEVIDEO;Luis Alberto de Herrera 2803 ;-34.877666236580446;-56.15636546403464;24818100;SI;SI;SI;SI
RAMON VARELA;MONTEVIDEO;MONTEVIDEO;Damaso Antonio Larrañaga 4206 ;-34.8587211113343;-56.1501634821614;25080619;SI ;SI;NO;NO
SERVICAR CARDONA;COLONIA;CARDONA;Ruta 12 y 25 de Agosto;-33.8755377646216;-57.372686119836025;45362001;SI;SI;SI;SI
SINDEY SRL;MONTEVIDEO;CARRASCO;Avda. Italia 6740 ;-34.85856932774996;-56.15024440061525;26000850;SI ;SI;NO;NO
FRAYLE MUERTO;CERRO LARGO;FRAYLE MUERTO;Ruta 7 y Tramo 44;-32.5078398505603;-54.5195715355402;46889035;SI ;SI;NO;NO
CARDAL S.A;FLORIDA;CARDAL;Jose G. Artigas  95.200 Esq Rodó;-34.291790126561;-56.3934749856357;43398023;SI ;SI;NO;NO
LANPONT;MALDONADO;BALNEARIO BUENOS AIRES;Calle 49 y 34;-34.88478852902883;-54.78980941153415;;SI;SI;SI;SI
CASUPA;FLORIDA;CASUPA;Ruta 7 Km. 110 y Manuel Francisco de Artigas;-34.1000884939572;-55.6536038897928;;SI ;SI;NO;NO
ROSTAN;RIO NEGRO;FRAY BENTOS;18 DE JULIO 1949 Y COLON;-33.12344926015335;-58.30005714318862;45622617;SI;SI;SI;NO
